ID;IDbodega;IDlinea;IDcolor;IDcodigo;nombre;valorcontado;valorfecha;valorlista;peso;espesor;stock;pendiente;sMax;sMin;costoultimo;costopromedio;IDproveedor;estactivo
1194;0;A;BL;0100;Angulo 10 x 10;5800;5800;5800;0,5;1;2;0;0;0;3100;0;;VERDADERO
1565;0;A;BL;0101;Angulo 13x13;5800;5800;5800;0,529999971;1;5;0;0;0;1900;0;;VERDADERO
984;0;A;BL;0102;Angulo 15x15;7000;7000;7000;0,610000014;1;0;0;0;0;2506;0;;VERDADERO
2;0;A;BL;0105;Angulo 20x20;5800;5800;5800;0,850000024;1;0;0;0;0;2500;0;;VERDADERO
1195;0;A;BL;0106;Angulo 25 x 25;5800;5800;5800;1,200000048;1;0;0;0;0;2800;0;;VERDADERO
1298;0;A;BL;0107BL;Angulo 30 x 30 Blanco;5800;5800;5800;1,799999952;2;2;0;0;0;2642;0;;VERDADERO
1939;0;A;BL;0109;Angulo 40x40x1.5mm;5800;5800;5800;2,299999952;1;2;0;0;0;2450;0;;VERDADERO
346;0;A;BL;0110;Angulo 50x50x1.5;8000;8000;8000;2,410000086;1;0;0;0;0;3000;0;;VERDADERO
1243;0;A;BL;0130;Angulo 6 x 12;5800;5800;5800;0,360000014;1;15;0;0;0;1833;0;;VERDADERO
3;0;A;BL;0132;Angulo 20 x 10;5800;5800;5800;0,800000012;1;1;0;0;0;2350;0;;VERDADERO
4;0;A;BL;0134;Angulo 25x12;5800;5800;5800;0,75999999;1;1;0;0;0;0;0;;VERDADERO
5;0;A;BL;0135;Angulo 32x12;5800;5800;5800;0,899999976;1;1;0;0;0;3000;0;;VERDADERO
1981;0;A;BL;0162;Canal 20 x 12;5800;5800;5800;1,100000024;1;0;0;0;0;0;0;;VERDADERO
1497;0;A;BL;0163;canal 25x13;5800;5800;5800;1,169999957;1;0;0;0;0;0;0;;VERDADERO
1992;0;A;BL;0165;Canal 50 x 13 Blanco;5800;5800;5800;1,799999952;1;11;0;0;0;3000;0;;VERDADERO
