referencia,nombre,categoria,precio,stock,costo
MD4123545,CILINDRO 35/45 PLATA,CILINDROS,7379,6,0
MD4124040,CILINDRO 40/40 PLATA,CILINDROS,7379,6,0
MD4124045,CILINDRO 40/45 PLATA,CILINDROS,7615,6,0
MD4124545,CILINDRO 45/45 PLATA,CILINDROS,7878,6,0
MD4124550,CILINDRO 45/50 PLATA,CILINDROS,8166,6,0
WH5032434,ROSETA CUADRADA NEGRA,CILINDROS,3165,6,0
WH5032436,ROSETA OVALADA BLANCA,CILINDROS,3165,6,0
WH5032435,ROSETA OVALADA PLATA,CILINDROS,4491,6,0
MD01248016,ROSETA OVALADA BLANCA,CILINDROS,2413,6,0
MD01248019,ROSETA OVALADA MARRON,CILINDROS,2413,6,0
WH2094936,CERR. PTA SEGURIDAD 2 HOJAS (FG 1660 L01/28 92/8 R4),CERRADEROS,86054,6,0
WH2082361,CERR. PTA SEGURIDAD 2 HOJAS (FG 1660/35 92/R4),CERRADEROS,77443,6,0
WH2920687,CERRADERO ABATIBLE DE SEGURIDAD (SBK.K.144.5),CERRADEROS,1447,6,0
WH4938546,CERRADERO ABATIBLE DE SEGURIDAD (SBK.K.52),CERRADEROS,1447,6,0
WH2861584,CERRADERO ABATIBLE DE SEGURIDAD (SBK.K.60),CERRADEROS,1447,6,0
WH4996028,CERRADERO ABATIBLE DE SEGURIDAD (SBK.K205.P5),CERRADEROS,1447,6,0
WH4933191,CERRADERO CORR. DE SEGURIDAD (SBS.K.S.U.AHS),CERRADEROS,1205,6,0
WH2920661,CERRADERO CORREDERA (SBS.K.144),CERRADEROS,1205,6,0
WH4990061,CERRADERO ESTANDAR (SBS.K.152),CERRADEROS,1205,6,0
WH4996029,CERRADERO ESTANDAR (SBS.K.205.P5),CERRADEROS,1205,6,0
WH2861656,CERRADERO ESTANDAR (SBS.K.60),CERRADEROS,1205,6,0
WH4933192,CERRADERO ESTANDAR (SBS.K.S.144RS),CERRADEROS,1988,6,0
WH4933211,CERRADERO ESTANDAR (SBS.K.S.144SL),CERRADEROS,1988,6,0
WH4933190,CERRADERO ESTANDAR (SBS.K.S.U),CERRADEROS,882,6,0
WH4998915,CERRADERO ESTANDAR CON PESTAÑA (SBA.K.105.105.KT),CERRADEROS,302,6,0
WH2920652,CERRADERO ESTANDAR CON PESTAÑA (SBA.K.144),CERRADEROS,302,6,0
WH2824062,CERRADERO ESTANDAR CON PESTAÑA (SBA.K.152),CERRADEROS,302,6,0
WH2922210,CERRADERO ESTANDAR CON PESTAÑA (SBA.K.205.P5),CERRADEROS,302,6,0
WH2824046,CERRADERO ESTANDAR CON PESTAÑA (SBA.K.60),CERRADEROS,302,6,0
WH2312198,CERRADERO ESTANDAR SIN PESTAÑA (WSK 205 RC-V SL),CERRADEROS,271,6,0
WH2486999,CERRADERO ESTANDAR SIN PESTAÑA (WSK 60 RC SL),CERRADEROS,422,6,0
WH2490613,CERRADERO ESTANDAR SIN PESTAÑA (WSK BN-FC SL),CERRADEROS,482,6,0
WH2312032,CERRADERO H (GVM UK 105 SL),CERRADEROS,572,6,0
WH2312059,CERRADERO H (GVM UK 144 SL),CERRADEROS,754,6,0
WH2536731,CERRADERO H (GVM UK 60 SL),CERRADEROS,754,6,0
WH2312024,CERRADERO H (GVM UK 66 SL),CERRADEROS,572,6,0
WH5017244,CERRADERO INVERSORA TRIFUNCION DERECHO (RT.DFE-TFE.ZN.RS),CERRADEROS,242,6,0
WH5017246,CERRADERO INVERSORA TRIFUNCION IZQUIERDO (RT.DFE-TFE.ZN.LS),CERRADEROS,242,6,0
WH2933744,CERRADERO PASADOR INFERIOR PUERTA (F2402 R12),CERRADEROS,11155,6,0
WH2036681,CERRADERO PASADOR SA 105 SL,CERRADEROS,1036,6,0
WH2366911,CERRADERO PASADOR SA 144 SL,CERRADEROS,1476,6,0
WH2366946,CERRADERO PASADOR SA 152 SL,CERRADEROS,1267,6,0
WH1929209,CERRADERO PASADOR SA 60 SL,CERRADEROS,1208,6,0
WH2209887,CERRADERO PASADOR SA 66 SL,CERRADEROS,1267,6,0
WH2484951,CERRADERO PASADOR SUPERIOR PUERTA (U26-76 MC),CERRADEROS,6442,6,0
WH4998988,CERRADERO PRACT. SEGURIDAD (BL.SBS.K.105),CERRADEROS,1295,6,0
WH4998937,CERRADERO PRACT. SEGURIDAD (SBK.K.105),CERRADEROS,1447,6,0
WH2909921,CERRADERO PRACT. SEGURIDAD (WSK 105 SL),CERRADEROS,361,6,0
WH5018679,CERRADERO PUERTA DERECHO (U26-105 AVU K SKG),CERRADEROS,20649,6,0
WH5015523,CERRADERO PUERTA DERECHO (U26-61 AVU SKG),CERRADEROS,18920,6,0
WH5015525,CERRADERO PUERTA DERECHO (U26-62 AVU SKG),CERRADEROS,18920,6,0
WH5015517,CERRADERO PUERTA DERECHO (U26-76 AVU SKG),CERRADEROS,18920,6,0
WH5018790,CERRADERO PUERTA IZQUIERDO (U26-105 AVU K SKG),CERRADEROS,20649,6,0
WH5015522,CERRADERO PUERTA IZQUIERDO (U26-61 AVU SKG),CERRADEROS,18920,6,0
WH5015524,CERRADERO PUERTA IZQUIERDO (U26-62 AVU SKG),CERRADEROS,18920,6,0
WH5015516,CERRADERO PUERTA IZQUIERDO (U26-76 AVU SKG),CERRADEROS,18920,6,0
WH2910059,CERRADERO PUERTA SIN PESTAÑA (WSK 144RC SL),CERRADEROS,422,6,0
WH4932530,CREMONA CORR. E-15.5 C.VAR. 1000-1800 (GVMC.1000-3.AHS),CREMONAS,6748,6,0
WH4932531,CREMONA CORR. E-15.5 C.VAR. 1800-2200 (GVMC.1800-4.AHS),CREMONAS,10544,6,0
WH4932329,CREMONA CORR. E-15.5 C.VAR. 400-600 (GVMC.400-2),CREMONAS,3933,6,0
WH4932479,CREMONA CORR. E-15.5 C. VAR. 600-1000 (GVMC.600-2.AHS),CREMONAS,5051,6,0
WH4932784,CREMONA CORR. E-7.5 C.VAR. 1001-1800 (GVMC.1000-3-D7.5.AHS),CREMONAS,7426,6,0
WH4932785,CREMONA CORR. E-7.5 C.VAR. 1800-2200,CREMONAS,12172,6,0
WH4965361,CREMONA CORR. E-7.5 C.VAR. 400-600 (GVMC.400-2.D7.5),CREMONAS,3452,6,0
WH4932783,CREMONA CORR. E-7.5 C.VAR. 600-1000,CREMONAS,5935,6,0
